Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Sat;08.08.2020;16:00:00;FC Khimki;0–2;CSKA Moscow;4,948;Arena Khimki;Vladislav Bezborodov;Match Report;
1;Sat;08.08.2020;18:30:00;Tambov;0–1;Rostov;;Stadion STC Tambov;Stanislav Vasilyev;Match Report;
1;Sun;09.08.2020;19:00:00;Arsenal Tula;0–0;Akhmat Grozny;1,892;Stadion Arsenal;Kirill Levnikov;Match Report;
1;Sun;09.08.2020;19:00:00;Ufa;0–3;Krasnodar;;Stadion Neftyanik;Sergey Karasev;Match Report;
1;Sun;09.08.2020;20:00:00;Spartak Moscow;2–2;Sochi;;Otkrytie Arena;Vasiliy Kazartsev;Match Report;
1;Mon;10.08.2020;19:00:00;Ural;0–2;Dynamo Mosc;;Stadion Central'nyj;Vitaly Meshkov;Match Report;
1;Tue;11.08.2020;19:00:00;Rotor Volgograd;0–2;Zenit;;Volgograd Arena;Aleksey Matyunin;Match Report;
1;Tue;11.08.2020;20:00:00;Rubin Kazan;0–2;Loko Moscow;;Kazan Arena;Sergey Ivanov;Match Report;
2;Fri;14.08.2020;18:00:00;Arsenal Tula;2–3;Ufa;1,896;Stadion Arsenal;Sergey Lapochkin;Match Report;
2;Fri;14.08.2020;20:00:00;Sochi;1–1;FC Khimki;3,613;Olimpiyskiy Stadion Fisht;Sergey Karasev;Match Report;
2;Fri;14.08.2020;20:00:00;Spartak Moscow;2–0;Akhmat Grozny;8,946;Otkrytie Arena;Evgeny Turbin;Match Report;
2;Sat;15.08.2020;15:30:00;Rubin Kazan;1–1;Ural;;Kazan Arena;Aleksey Sukhoy;Match Report;
2;Sat;15.08.2020;15:30:00;Dynamo Mosc;0–0;Rotor Volgograd;5,981;VTB Arena;Igor Panin;Match Report;
2;Sat;15.08.2020;18:00:00;CSKA Moscow;2–1;Tambov;7,939;VEB Arena;Vladimir Moskalev;Match Report;
2;Sat;15.08.2020;19:00:00;Loko Moscow;1–0;Krasnodar;;RZD Arena;Kirill Levnikov;Match Report;
2;Sat;15.08.2020;20:00:00;Rostov;0–2;Zenit;;Rostov Arena;Pavel Kukuyan;Match Report;
3;Tue;18.08.2020;19:00:00;Sochi;3–2;Rubin Kazan;;Olimpiyskiy Stadion Fisht;Vladislav Bezborodov;Match Report;
3;Tue;18.08.2020;19:00:00;Tambov;1–0;FC Khimki;;Stadion STC Tambov;Mikhail Vilkov;Match Report;
3;Tue;18.08.2020;20:00:00;Krasnodar;2–0;Arsenal Tula;3,518;Stadion Akademii FK Krasnodar;Sergey Ivanov;Match Report;
3;Wed;19.08.2020;18:00:00;Ufa;1–1;Spartak Moscow;3,407;Stadion Neftyanik;Stanislav Vasilyev;Match Report;
3;Wed;19.08.2020;18:00:00;Ural;1–1;Loko Moscow;5,072;Stadion Central'nyj;Aleksey Matyunin;Match Report;
3;Wed;19.08.2020;18:00:00;Akhmat Grozny;3–1;Rotor Volgograd;;Stadion im. Akhmat-Khaji Kadyrova;Sergey Lapochkin;Match Report;
3;Wed;19.08.2020;19:00:00;Dynamo Mosc;2–0;Rostov;;VTB Arena;Nikolay Voloshin;Match Report;
3;Wed;19.08.2020;20:00:00;Zenit;2–1;CSKA Moscow;;Gazprom Arena;Vitaly Meshkov;Match Report;
4;Sat;22.08.2020;16:00:00;Ural;1–0;Krasnodar;3,286;Stadion Central'nyj;Evgeny Turbin;Match Report;
4;Sat;22.08.2020;16:00:00;FC Khimki;1–2;Akhmat Grozny;1,63;Arena Khimki;Pavel Kukuyan;Match Report;
4;Sat;22.08.2020;17:30:00;Arsenal Tula;2–0;Dynamo Mosc;1,897;Stadion Arsenal;Vladimir Moskalev;Match Report;
4;Sat;22.08.2020;18:00:00;Zenit;4–1;Tambov;20,728;Gazprom Arena;Igor Panin;Match Report;
4;Sat;22.08.2020;20:00:00;CSKA Moscow;1–2;Rubin Kazan;7,731;VEB Arena;Kirill Levnikov;Match Report;
4;Sat;22.08.2020;21:00:00;Rotor Volgograd;1–2;Sochi;14,077;Volgograd Arena;Sergey Ivanov;Match Report;
4;Sun;23.08.2020;18:30:00;Ufa;0–1;Rostov;3,286;Stadion Neftyanik;Mikhail Vilkov;Match Report;
4;Sun;23.08.2020;19:00:00;Spartak Moscow;2–1;Loko Moscow;12,393;Otkrytie Arena;Sergey Karasev;Match Report;
5;Tue;25.08.2020;18:30:00;Tambov;0–1;Sochi;2,1;Stadion STC Tambov;Aleksey Matyunin;Match Report;
5;Tue;25.08.2020;20:30:00;Arsenal Tula;1–1;FC Khimki;3,244;Stadion Arsenal;Nikolay Voloshin;Match Report;
5;Wed;26.08.2020;18:30:00;Rubin Kazan;3–0;Ufa;6,276;Kazan Arena;Pavel Kukuyan;Match Report;
5;Wed;26.08.2020;18:30:00;Loko Moscow;2–3;Akhmat Grozny;4,859;RZD Arena;Igor Panin;Match Report;
5;Wed;26.08.2020;19:30:00;Rotor Volgograd;0–1;Spartak Moscow;18,139;Volgograd Arena;Aleksey Sukhoy;Match Report;
5;Wed;26.08.2020;20:30:00;Krasnodar;1–1;CSKA Moscow;6,077;Stadion Akademii FK Krasnodar;Vladislav Bezborodov;Match Report;
5;Wed;26.08.2020;20:30:00;Rostov;1–0;Ural;11,353;Rostov Arena;Sergey Lapochkin;Match Report;
5;Wed;26.08.2020;20:45:00;Dynamo Mosc;1–0;Zenit;5,885;VTB Arena;Stanislav Vasilyev;Match Report;
6;Sat;29.08.2020;18:00:00;Spartak Moscow;2–1;Arsenal Tula;9,186;Otkrytie Arena;Aleksey Matyunin;Match Report;
6;Sat;29.08.2020;20:00:00;FC Khimki;1–1;Rotor Volgograd;2,541;Arena Khimki;Kirill Levnikov;Match Report;
6;Sun;30.08.2020;16:00:00;Loko Moscow;0–0;Zenit;7,739;RZD Arena;Vladimir Moskalev;Match Report;
6;Sun;30.08.2020;16:00:00;Ufa;1–1;Dynamo Mosc;2,936;Stadion Neftyanik;Evgeny Turbin;Match Report;
6;Sun;30.08.2020;18:00:00;Rubin Kazan;2–2;Tambov;4,515;Kazan Arena;Vitaly Meshkov;Match Report;
6;Sun;30.08.2020;18:00:00;Akhmat Grozny;0–3;CSKA Moscow;6,413;Stadion im. Akhmat-Khaji Kadyrova;Sergey Ivanov;Match Report;
6;Sun;30.08.2020;20:00:00;Krasnodar;1–1;Rostov;9,136;Stadion Akademii FK Krasnodar;Sergey Karasev;Match Report;
6;Sun;30.08.2020;21:00:00;Sochi;0–0;Ural;3,942;Olimpiyskiy Stadion Fisht;Mikhail Vilkov;Match Report;
7;Sat;12.09.2020;13:45:00;Tambov;2–0;Ufa;2,567;Stadion STC Tambov;Kirill Levnikov;Match Report;
7;Sat;12.09.2020;18:30:00;Ural;3–1;FC Khimki;6,037;Stadion Central'nyj;Vladimir Moskalev;Match Report;
7;Sat;12.09.2020;19:00:00;Akhmat Grozny;0–1;Sochi;6,084;Stadion im. Akhmat-Khaji Kadyrova;Vitaly Meshkov;Match Report;
7;Sun;13.09.2020;16:30:00;Dynamo Mosc;0–1;Rubin Kazan;5,723;VTB Arena;Sergey Lapochkin;Match Report;
7;Sun;13.09.2020;19:00:00;CSKA Moscow;3–1;Spartak Moscow;13,33;VEB Arena;Sergey Karasev;Match Report;
7;Sun;13.09.2020;20:00:00;Rotor Volgograd;0–3;Krasnodar;;Volgograd Arena;Mikhail Vilkov;Match Report;Match awarded to Krasnodar
7;Mon;14.09.2020;18:30:00;Zenit;3–1;Arsenal Tula;21,559;Gazprom Arena;Pavel Kukuyan;Match Report;
7;Mon;14.09.2020;20:30:00;Rostov;0–0;Loko Moscow;15,011;Rostov Arena;Vladislav Bezborodov;Match Report;
8;Fri;18.09.2020;20:00:00;Krasnodar;7–2;FC Khimki;10,544;Stadion Akademii FK Krasnodar;Sergey Lapochkin;Match Report;
8;Sat;19.09.2020;18:30:00;Ural;1–1;Zenit;13,488;Stadion Central'nyj;Sergey Karasev;Match Report;
8;Sat;19.09.2020;19:00:00;Rostov;3–0;Rotor Volgograd;;Rostov Arena;;Match Report;Match awarded to Rostov
8;Sun;20.09.2020;14:00:00;Arsenal Tula;3–2;Sochi;5,028;Stadion Arsenal;Evgeny Kukulyak;Match Report;
8;Sun;20.09.2020;16:00:00;Ufa;0–1;CSKA Moscow;3,839;Stadion Neftyanik;Nikolay Voloshin;Match Report;
8;Sun;20.09.2020;16:30:00;Rubin Kazan;0–2;Spartak Moscow;18,465;Kazan Arena;Kirill Levnikov;Match Report;
8;Sun;20.09.2020;19:00:00;Loko Moscow;1–0;Tambov;6,508;RZD Arena;Evgeny Turbin;Match Report;
8;Mon;21.09.2020;19:00:00;Dynamo Mosc;1–0;Akhmat Grozny;4,512;VTB Arena;Mikhail Vilkov;Match Report;
9;Sat;26.09.2020;14:00:00;Tambov;0–2;Spartak Moscow;14,977;Stadion STC Tambov;Igor Panin;Match Report;
9;Sat;26.09.2020;16:30:00;Zenit;6–0;Ufa;22,697;Gazprom Arena;Aleksey Sukhoy;Match Report;
9;Sat;26.09.2020;21:00:00;Sochi;1–1;Krasnodar;7,641;Olimpiyskiy Stadion Fisht;Sergey Karasev;Match Report;
9;Sun;27.09.2020;14:00:00;Arsenal Tula;2–3;Rostov;5,945;Stadion Arsenal;Vitaly Meshkov;Match Report;
9;Sun;27.09.2020;16:30:00;Akhmat Grozny;2–0;Ural;4,961;Stadion im. Akhmat-Khaji Kadyrova;Pavel Kukuyan;Match Report;
9;Sun;27.09.2020;19:00:00;CSKA Moscow;0–1;Loko Moscow;12,4;VEB Arena;Mikhail Vilkov;Match Report;
9;Sun;27.09.2020;20:00:00;Rotor Volgograd;1–3;Rubin Kazan;8,95;Volgograd Arena;Vladislav Bezborodov;Match Report;
9;Mon;28.09.2020;19:00:00;FC Khimki;1–0;Dynamo Mosc;2,732;Arena Khimki;Sergey Ivanov;Match Report;
10;Sat;03.10.2020;16:00:00;Ufa;0–0;Rotor Volgograd;5,247;Stadion Neftyanik;Vitaly Meshkov;Match Report;
10;Sat;03.10.2020;16:30:00;Tambov;1–1;Arsenal Tula;1,983;Stadion STC Tambov;Vladislav Bezborodov;Match Report;
10;Sat;03.10.2020;18:30:00;Ural;0–2;CSKA Moscow;15,102;Stadion Central'nyj;Stanislav Vasilyev;Match Report;
10;Sat;03.10.2020;19:00:00;Spartak Moscow;1–1;Zenit;17,15;Otkrytie Arena;Pavel Kukuyan;Match Report;
10;Sun;04.10.2020;14:00:00;Loko Moscow;2–1;FC Khimki;7,92;RZD Arena;Evgeny Kukulyak;Match Report;
10;Sun;04.10.2020;16:30:00;Rubin Kazan;1–1;Akhmat Grozny;6,387;Kazan Arena;Vladimir Moskalev;Match Report;
10;Sun;04.10.2020;17:30:00;Sochi;4–2;Rostov;6,199;Olimpiyskiy Stadion Fisht;Evgeny Turbin;Match Report;
10;Sun;04.10.2020;20:00:00;Dynamo Mosc;2–0;Krasnodar;6,076;VTB Arena;Kirill Levnikov;Match Report;
11;Sat;17.10.2020;14:00:00;Zenit;3–1;Sochi;21,231;Gazprom Arena;Sergey Ivanov;Match Report;
11;Sat;17.10.2020;16:30:00;Loko Moscow;1–0;Ufa;4,471;RZD Arena;Pavel Kukuyan;Match Report;
11;Sat;17.10.2020;16:30:00;Krasnodar;3–1;Rubin Kazan;10,554;Stadion Akademii FK Krasnodar;Mikhail Vilkov;Match Report;
11;Sat;17.10.2020;19:00:00;FC Khimki;2–3;Spartak Moscow;3,881;Arena Khimki;Kirill Levnikov;Match Report;
11;Sun;18.10.2020;14:00:00;Arsenal Tula;1–0;Ural;4,23;Stadion Arsenal;Sergey Lapochkin;Match Report;
11;Sun;18.10.2020;15:00:00;Rotor Volgograd;0–2;Tambov;6,871;Volgograd Arena;Vasiliy Kazartsev;Match Report;
11;Sun;18.10.2020;16:30:00;CSKA Moscow;3–1;Dynamo Mosc;6,999;VEB Arena;Vladislav Bezborodov;Match Report;
11;Sun;18.10.2020;19:00:00;Rostov;3–0;Akhmat Grozny;10,312;Rostov Arena;Aleksey Matyunin;Match Report;
12;Sat;24.10.2020;14:00:00;Dynamo Mosc;3–1;Sochi;4,535;VTB Arena;Aleksey Sukhoy;Match Report;
12;Sat;24.10.2020;16:30:00;Zenit;1–2;Rubin Kazan;20,847;Gazprom Arena;Nikolay Voloshin;Match Report;
12;Sat;24.10.2020;19:00:00;Loko Moscow;1–2;Rotor Volgograd;4,3;RZD Arena;Sergey Ivanov;Match Report;
12;Sat;24.10.2020;19:00:00;Krasnodar;1–3;Spartak Moscow;10,554;Stadion Akademii FK Krasnodar;Vladislav Bezborodov;Match Report;
12;Sun;25.10.2020;16:00:00;Ural;0–0;Tambov;3,427;Stadion Central'nyj;Evgeny Kukulyak;Match Report;
12;Sun;25.10.2020;16:30:00;Rostov;0–2;FC Khimki;10,879;Rostov Arena;Vasiliy Kazartsev;Match Report;
12;Sun;25.10.2020;19:00:00;Akhmat Grozny;3–1;Ufa;4,881;Stadion im. Akhmat-Khaji Kadyrova;Sergey Lapochkin;Match Report;
12;Mon;26.10.2020;19:00:00;CSKA Moscow;5–1;Arsenal Tula;5,092;VEB Arena;Igor Panin;Match Report;
13;Sat;31.10.2020;14:00:00;Rubin Kazan;3–1;Arsenal Tula;3,899;Kazan Arena;Vasiliy Kazartsev;Match Report;
13;Sat;31.10.2020;16:30:00;Spartak Moscow;0–1;Rostov;2,363;Otkrytie Arena;Vitaly Meshkov;Match Report;
13;Sat;31.10.2020;16:30:00;Akhmat Grozny;2–0;Krasnodar;5,751;Stadion im. Akhmat-Khaji Kadyrova;Evgeny Kukulyak;Match Report;
13;Sat;31.10.2020;20:00:00;Sochi;2–1;Loko Moscow;;Olimpiyskiy Stadion Fisht;Stanislav Vasilyev;Match Report;
13;Sun;01.11.2020;14:00:00;FC Khimki;0–2;Zenit;;Arena Khimki;Aleksey Matyunin;Match Report;
13;Sun;01.11.2020;14:00:00;Ufa;1–2;Ural;2,569;Stadion Neftyanik;Vladimir Moskalev;Match Report;
13;Sun;01.11.2020;17:30:00;Rotor Volgograd;0–1;CSKA Moscow;14,25;Volgograd Arena;Pavel Kukuyan;Match Report;
13;Sun;01.11.2020;19:00:00;Tambov;1–2;Dynamo Mosc;2,091;Stadion STC Tambov;Sergey Karasev;Match Report;
14;Fri;06.11.2020;20:00:00;Sochi;1–1;Ufa;3,963;Olimpiyskiy Stadion Fisht;Nikolay Voloshin;Match Report;
14;Sat;07.11.2020;16:00:00;Ural;2–2;Spartak Moscow;9,669;Stadion Central'nyj;Pavel Kukuyan;Match Report;
14;Sat;07.11.2020;16:30:00;Arsenal Tula;1–1;Rotor Volgograd;1,743;Stadion Arsenal;Stanislav Vasilyev;Match Report;
14;Sat;07.11.2020;19:00:00;Tambov;0–1;Akhmat Grozny;;Stadion STC Tambov;Sergey Ivanov;Match Report;
14;Sun;08.11.2020;14:00:00;FC Khimki;2–0;Rubin Kazan;;Arena Khimki;Sergey Lapochkin;Match Report;
14;Sun;08.11.2020;16:30:00;CSKA Moscow;2–0;Rostov;6,886;VEB Arena;Aleksey Matyunin;Match Report;
14;Sun;08.11.2020;19:00:00;Zenit;3–1;Krasnodar;24,068;Gazprom Arena;Vladimir Moskalev;Match Report;
14;Sun;08.11.2020;19:00:00;Dynamo Mosc;5–1;Loko Moscow;6,158;VTB Arena;Igor Panin;Match Report;
15;Sat;21.11.2020;14:00:00;Krasnodar;1–0;Tambov;9,287;Stadion Akademii FK Krasnodar;Sergey Lapochkin;Match Report;
15;Sat;21.11.2020;16:30:00;Akhmat Grozny;2–2;Zenit;6,241;Stadion im. Akhmat-Khaji Kadyrova;Sergey Karasev;Match Report;
15;Sat;21.11.2020;19:00:00;Loko Moscow;1–0;Arsenal Tula;3,976;RZD Arena;Aleksey Sukhoy;Match Report;
15;Sat;21.11.2020;19:00:00;Spartak Moscow;1–1;Dynamo Mosc;4,953;Otkrytie Arena;Sergey Ivanov;Match Report;
15;Sun;22.11.2020;14:00:00;CSKA Moscow;1–1;Sochi;5,012;VEB Arena;Evgeny Kukulyak;Match Report;
15;Sun;22.11.2020;17:30:00;Rotor Volgograd;0–0;Ural;4,05;Volgograd Arena;Vitaly Meshkov;Match Report;
15;Sun;22.11.2020;19:00:00;Rubin Kazan;0–2;Rostov;3,011;Kazan Arena;Pavel Kukuyan;Match Report;
15;Mon;23.11.2020;19:00:00;Ufa;1–2;FC Khimki;1,424;Stadion Neftyanik;Stanislav Vasilyev;Match Report;
